zipcode,total_charitable_contb,agi,num_of_returns,net_investment_income_tax,net_cap_gains_less_loss,num_returns_net_cap_gains_less_loss,num_returns_rent_and_royalty,total_rent_and_royalty,ord_div_amount,num_returns_ord_dividens,state,total_tax_payments_amount,salaries_and_wages_amnt,num_salaries_and_wages,zip_region,agi_per_return
60949,0,12979,220,0,0,0,0,0,27,20,IL,1494,9156,190,609,58.99545454545454
60950,2467,456567,5810,155,9934,1010,280,2474,3998,1150,IL,56920,326548,4700,609,78.5829604130809
60951,0,27200,410,0,204,70,50,463,120,80,IL,2655,16941,300,609,66.34146341463415
60952,0,21600,300,0,378,40,30,396,64,30,IL,2164,12747,250,609,72
60953,0,69941,980,0,2745,190,100,1161,768,230,IL,8678,39730,760,609,71.36836734693877
60954,553,169150,2610,36,2978,340,180,1668,1445,380,IL,20660,123270,2190,609,64.80842911877394
60955,0,54004,840,0,595,130,80,775,606,160,IL,5359,35525,720,609,64.29047619047618
60957,545,165966,2550,98,5013,400,210,2222,1930,470,IL,18816,109920,2090,609,65.08470588235294
60958,196,22680,650,0,0,0,0,0,0,0,IL,3303,18758,560,609,34.89230769230769
60959,0,26465,430,0,514,60,30,331,137,60,IL,2779,14719,320,609,61.54651162790697
60960,0,23016,390,0,129,50,40,392,56,60,IL,2467,14275,300,609,59.01538461538462
60961,0,30247,370,0,340,70,20,162,361,70,IL,3530,17844,280,609,81.74864864864865
60962,0,15830,220,0,696,30,0,0,115,20,IL,1723,8140,160,609,71.95454545454545
60963,0,47277,770,0,393,100,50,377,303,110,IL,5293,32178,620,609,61.3987012987013
60964,1164,164366,2240,129,3722,340,200,1878,2139,410,IL,20355,106512,1810,609,73.37767857142858
60966,0,34044,600,0,810,80,70,492,210,80,IL,3936,22839,490,609,56.74
60968,0,13280,190,0,32,20,0,0,86,20,IL,1348,6399,160,609,69.89473684210526
60970,614,179421,2770,200,6435,460,240,2026,3371,550,IL,23688,112206,2210,609,64.77292418772564
60973,0,11985,160,0,593,30,0,0,29,30,IL,1168,5772,120,609,74.90625
61001,179,64754,1490,57,1518,170,70,303,1104,190,IL,8647,38183,1290,610,43.459060402684564
61006,0,51783,770,0,597,140,50,626,332,130,IL,5221,36310,630,610,67.25064935064935
61007,0,16387,240,0,195,50,40,538,93,50,IL,1636,9346,180,610,68.27916666666667
61008,9048,1194925,16230,1260,34543,2330,740,4832,18725,2570,IL,171559,843958,13560,610,73.62446087492299
61010,1830,345543,3690,217,12467,820,240,1476,4700,930,IL,48391,234329,3040,610,93.6430894308943
61011,2191,178291,1440,181,6386,480,160,1692,4106,530,IL,28577,103869,1100,610,123.81319444444445
61012,138,68772,1090,0,906,130,80,147,230,140,IL,7842,53978,930,610,63.09357798165138
61014,0,37513,520,0,330,100,60,1042,300,120,IL,4081,24628,420,610,72.14038461538462
61015,0,42124,460,0,1420,100,70,572,383,110,IL,5713,23765,350,610,91.57391304347826
61016,1053,214710,2490,79,3891,630,170,490,4186,700,IL,28567,138769,1900,610,86.2289156626506
61018,0,38897,540,0,438,100,80,1513,312,110,IL,4191,25146,420,610,72.03148148148148
61019,695,147554,1790,74,4461,450,120,588,2375,510,IL,17254,91608,1290,610,82.43240223463687
61020,352,107744,1460,0,803,190,60,294,490,200,IL,12297,88352,1280,610,73.7972602739726
61021,3987,742588,10380,492,20649,1900,720,6869,10713,2100,IL,99488,467405,8200,610,71.5402697495183
61024,144,96809,1240,66,3382,250,120,1634,1026,250,IL,11505,62348,1000,610,78.07177419354839
61025,964,196468,2230,212,7887,440,150,1284,3475,510,IL,30819,119518,1810,610,88.10224215246637
61028,112,64398,910,80,3550,230,140,563,1311,250,IL,8329,38565,680,610,70.76703296703296
61030,223,70146,1000,0,1769,170,110,1412,1115,160,IL,7393,45126,810,610,70.146
61031,0,46317,680,0,369,100,50,528,250,120,IL,5355,29454,520,610,68.11323529411764
61032,4823,802771,13520,344,19855,2080,790,9297,16267,2410,IL,106074,509369,10330,610,59.37655325443787
61036,2042,338177,3780,385,17413,1180,340,1944,11614,1310,IL,47207,165519,2640,610,89.46481481481482
61038,112,43536,640,0,1228,110,60,271,460,130,IL,5186,27668,470,610,68.025
61039,0,27940,380,0,656,90,50,961,272,100,IL,3050,19013,310,610,73.52631578947368
61041,0,30775,620,0,202,90,60,104,353,100,IL,3631,19472,460,610,49.63709677419355
61042,0,16608,220,0,65,20,20,350,27,30,IL,1699,8744,160,610,75.49090909090908
61046,584,138158,1440,185,5807,400,200,4670,2811,410,IL,17710,73110,1040,610,95.94305555555556
61047,0,59719,790,0,1030,150,110,1258,549,180,IL,7414,42123,640,610,75.59367088607596
61048,490,160459,2040,98,5610,480,250,4054,3107,520,IL,19324,94041,1580,610,78.65637254901961
61049,0,22652,250,0,145,60,20,153,192,60,IL,2699,14535,200,610,90.608
61050,0,13437,190,0,147,30,0,0,43,30,IL,1579,8243,150,610,70.72105263157894
61051,0,51616,760,0,1362,150,100,2241,415,160,IL,5380,33214,600,610,67.91578947368421
61052,0,42496,560,0,476,100,40,518,249,120,IL,4983,30009,460,610,75.88571428571429
61053,557,84822,1310,84,3167,260,150,3344,1152,260,IL,10085,47515,970,610,64.7496183206107
61054,308,94033,1680,0,2444,270,110,1588,1141,280,IL,10882,62218,1310,610,55.97202380952381
61060,0,44623,710,0,1361,120,70,268,378,120,IL,4763,29616,560,610,62.849295774647885
61061,1801,261932,3370,201,5922,750,300,2174,4599,820,IL,33916,166423,2610,610,77.72462908011869
61062,222,65754,930,36,4350,210,160,3284,507,210,IL,7014,40888,730,610,70.70322580645161
61063,659,153499,1950,94,4830,410,150,1372,1931,430,IL,19797,103974,1560,610,78.71743589743589
61064,338,116329,1740,68,3789,320,200,2321,1702,340,IL,12758,73516,1400,610,66.85574712643678
61065,1629,401196,5250,283,15414,800,230,2049,3697,840,IL,49567,298801,4440,610,76.41828571428572
61067,0,25863,340,0,912,60,30,93,178,70,IL,2668,15633,250,610,76.06764705882352
61068,2191,445197,6870,186,10263,980,400,2734,5006,1110,IL,52535,315610,5830,610,64.80305676855895
61070,0,41522,540,0,1451,120,70,685,431,130,IL,5031,28230,410,610,76.89259259259259
61071,1100,368856,6360,222,9164,820,300,3682,3089,970,IL,44665,246042,5150,610,57.99622641509434
61072,2104,468734,5370,307,13694,1220,320,3050,7250,1390,IL,60143,324552,4300,610,87.28752327746741
61073,5363,948838,9740,975,36026,2220,540,4926,19908,2440,IL,134298,650982,7970,610,97.41663244353182
61074,211,103567,1870,0,1319,260,130,203,927,240,IL,12600,66939,1440,610,55.38342245989305
61075,0,40661,510,81,2232,120,70,296,1110,120,IL,4993,23424,410,610,79.72745098039216
61078,0,46793,700,0,1264,150,90,3399,502,150,IL,4718,26866,520,610,66.84714285714286
61080,1903,373761,4930,285,7107,710,230,1408,8543,810,IL,47972,270869,4210,610,75.81359026369168
61081,4726,667164,10180,495,19415,1730,550,3753,12560,1910,IL,87373,443085,8160,610,65.53673870333988
61084,1266,146373,1500,84,8414,360,100,1059,2036,390,IL,19278,91993,1200,610,97.582
61085,0,104358,1830,51,2702,320,220,2255,1219,340,IL,12088,67024,1460,610,57.02622950819672
61087,0,45745,760,0,1202,130,80,559,311,130,IL,5021,31978,600,610,60.19078947368421
61088,1133,256828,2960,116,5259,700,200,1659,2920,720,IL,32922,181272,2400,610,86.76621621621622
61089,0,31249,400,0,535,70,40,448,1546,60,IL,2665,17731,340,610,78.1225
61101,1735,373338,8310,185,4455,740,300,829,7588,840,IL,54371,260058,6780,611,44.92635379061372
61102,2121,345588,7340,29,2785,560,330,550,2560,590,IL,46741,269674,6210,611,47.08283378746594
61103,3322,543763,10270,262,8901,1130,330,352,12056,1300,IL,81159,390247,8580,611,52.94673807205453
61104,253,216800,6560,0,471,220,180,84,500,230,IL,32230,189526,5800,611,33.048780487804876
61107,11799,1255655,15060,1603,52256,3210,780,11222,33024,3500,IL,182201,769410,12000,611,83.37682602921647
61108,3984,795525,14190,343,18150,1990,490,81,13290,2220,IL,99123,550144,11420,611,56.06236786469345
61109,2602,669438,12610,136,7132,1280,410,874,5782,1430,IL,85005,502408,10660,611,53.087866772402855
61111,3717,792463,11880,419,14143,1700,420,859,8529,1880,IL,103213,590877,10030,611,66.70563973063973
61114,8243,810540,7770,869,39236,2100,450,3592,25280,2360,IL,134285,427776,5710,611,104.31660231660231
61115,2134,659004,11120,84,8771,1330,350,616,3874,1500,IL,78008,516464,9230,611,59.26294964028777
61201,5625,925302,16140,626,15501,2070,560,1104,18568,2430,IL,120686,649604,13240,612,57.329739776951676
61230,0,39118,540,0,649,90,30,-19,312,120,IL,4437,26753,410,612,72.44074074074074
61231,976,181285,2440,113,5057,390,220,3329,2101,470,IL,19226,104845,1900,612,74.29713114754098
61232,0,58027,680,0,659,130,40,346,578,130,IL,7135,38926,540,612,85.33382352941176
61234,0,48994,630,0,2351,130,60,520,363,150,IL,5478,33430,520,612,77.76825396825397
61235,0,57428,640,19,2176,150,70,650,1054,170,IL,6407,34572,500,612,89.73125
61238,286,100380,1410,57,2460,280,130,1072,1228,300,IL,11477,64072,1120,612,71.19148936170212
61239,0,21874,490,0,35,30,0,0,62,30,IL,3116,16637,430,612,44.64081632653061
61240,1625,285267,3000,228,7633,720,220,1778,5247,880,IL,39608,180522,2360,612,95.089
61241,496,227586,3310,60,4027,430,150,227,1653,520,IL,27297,168949,2740,612,68.7570996978852
61242,181,51869,560,0,1075,120,50,216,1097,130,IL,6756,29975,430,612,92.62321428571428
61243,0,10675,110,0,0,0,0,0,0,0,IL,820,5258,80,612,97.04545454545455
61244,2732,599543,10250,239,10325,1300,370,768,8656,1630,IL,74095,414265,8250,612,58.492
61250,464,97101,1230,50,912,200,90,551,867,250,IL,10543,61110,990,612,78.94390243902438
61251,0,15175,180,0,40,30,0,0,49,30,IL,1604,10857,160,612,84.30555555555556
61252,920,182947,2650,48,3621,540,220,1758,3227,620,IL,20762,119183,2100,612,69.0366037735849
61254,4070,536938,5810,672,24742,1610,500,4901,14487,1930,IL,73352,326814,4380,612,92.41617900172118
61256,0,79682,940,33,969,190,40,304,1086,230,IL,10811,50167,730,612,84.76808510638298
61257,0,35224,480,0,389,80,30,85,298,110,IL,4450,24559,360,612,73.38333333333334
61259,0,47559,570,0,1280,110,100,901,632,140,IL,5358,31318,410,612,83.43684210526315
61260,0,25092,360,0,168,40,40,561,40,40,IL,2512,15447,310,612,69.7
61261,0,24758,430,0,299,60,30,355,185,70,IL,2691,15995,340,612,57.57674418604651
61262,0,30354,360,0,612,80,40,357,246,90,IL,3558,18001,270,612,84.31666666666666
61264,1863,363241,4970,153,8228,790,270,802,5597,940,IL,47993,242452,3920,612,73.0867203219316
61265,8984,1410105,21470,1150,31050,3220,850,2286,28409,3770,IL,186197,962659,17460,612,65.67792268281323
61270,993,248135,3370,84,7031,730,340,4205,3557,810,IL,30304,149437,2520,612,73.63056379821958
61272,0,44416,670,0,1378,90,70,455,224,80,IL,4950,29149,510,612,66.29253731343283
61273,440,130994,1590,28,1794,360,130,1092,1611,430,IL,15800,88554,1280,612,82.38616352201258
61274,0,10588,150,0,18,20,0,0,89,30,IL,1026,6648,110,612,70.58666666666667
61275,644,234620,2090,145,3988,480,150,1239,3745,600,IL,29652,137008,1660,612,112.25837320574162
61277,343,114368,1500,60,1331,270,150,2283,2807,350,IL,12801,64714,1150,612,76.24533333333333
61279,0,37303,460,0,435,70,50,501,336,110,IL,3832,24478,380,612,81.09347826086956
61281,439,126123,1260,113,2423,250,90,287,1479,280,IL,14489,75782,1030,612,100.09761904761905
61282,818,232382,3890,69,3662,540,120,-61,2831,620,IL,28667,162548,3060,612,59.738303341902316
61283,0,48816,670,0,519,80,70,601,114,80,IL,4425,26538,530,612,72.85970149253731
61284,288,110936,1180,84,3082,320,120,937,1628,350,IL,14673,69356,870,612,94.0135593220339
61285,0,55240,810,0,835,150,60,507,599,170,IL,5983,31362,570,612,68.19753086419753
61301,962,324648,5010,303,9720,830,290,3615,4534,970,IL,46053,221520,4170,613,64.8
61310,236,125524,1810,74,3874,310,200,2332,1173,340,IL,15167,82668,1460,613,69.35027624309392
61311,0,8152,100,0,193,20,0,0,37,30,IL,808,4280,80,613,81.52
61312,0,16929,210,0,248,40,20,235,198,60,IL,1709,9343,170,613,80.61428571428571
61313,0,11893,150,0,0,0,0,0,5,20,IL,1166,7200,120,613,79.28666666666666
61314,0,26209,350,0,582,60,40,218,255,70,IL,2483,16105,280,613,74.88285714285715
61318,0,22399,280,0,398,40,30,439,163,40,IL,2460,14566,210,613,79.99642857142857
61319,0,43106,560,0,448,110,60,406,261,120,IL,4982,26522,440,613,76.975
61320,0,22475,350,0,22,70,0,0,82,70,IL,2496,16577,280,613,64.21428571428571
61321,0,9688,140,0,0,0,0,0,0,0,IL,964,5390,100,613,69.2
61325,0,37545,470,0,405,120,50,473,335,120,IL,4203,23407,360,613,79.88297872340425
61326,0,87073,1150,92,2736,240,100,834,2390,290,IL,11520,54895,900,613,75.71565217391304
61327,0,48864,630,0,570,120,50,180,471,150,IL,6549,30856,480,613,77.56190476190476
61329,0,46979,690,0,1105,120,30,86,869,150,IL,5781,33064,570,613,68.0855072463768
61330,0,48536,700,0,1197,160,90,902,525,200,IL,5050,28382,520,613,69.33714285714285
61333,0,13161,170,0,0,0,0,0,35,20,IL,1157,6844,120,613,77.41764705882353
61334,0,26991,360,0,285,80,20,200,242,80,IL,3420,17866,290,613,74.975
61335,0,19084,260,0,41,60,0,0,207,80,IL,2284,10539,200,613,73.4
61336,0,20180,270,0,66,60,30,331,43,60,IL,2050,12389,200,613,74.74074074074075
61337,0,13333,220,0,25,20,0,0,12,20,IL,1590,10120,190,613,60.60454545454545
61341,881,281551,3990,97,4783,720,230,1059,3324,800,IL,36667,197065,3190,613,70.56416040100251
61342,754,284536,4120,238,8118,730,380,6122,4531,890,IL,37058,179640,3360,613,69.0621359223301
61344,0,10627,170,0,0,0,0,0,125,30,IL,1021,6269,130,613,62.511764705882356
61345,0,25812,350,0,217,60,30,309,221,60,IL,3086,14495,280,613,73.74857142857142
61348,153,160784,2420,37,2514,510,150,620,2124,580,IL,19590,113583,1920,613,66.43966942148761
61349,0,33208,480,0,381,90,80,1369,365,140,IL,3635,19169,370,613,69.18333333333334
61350,4602,875438,11870,589,30916,2410,720,6781,15652,2780,IL,118634,578532,9450,613,73.75214827295703
61353,0,39401,620,0,160,80,50,156,159,120,IL,4456,27531,480,613,63.55
61354,2693,399651,5440,441,15267,1190,350,4435,8090,1390,IL,55795,251997,4190,613,73.46525735294118
61356,3576,390066,5340,619,13376,1170,470,5545,13402,1310,IL,51826,234495,4070,613,73.04606741573033
61358,0,13419,210,0,0,20,0,0,17,20,IL,1402,8112,160,613,63.9
61360,403,130694,1650,105,4103,310,100,937,1331,330,IL,16599,89777,1340,613,79.20848484848484
61361,0,41697,610,0,1128,110,70,800,234,100,IL,4308,25435,480,613,68.35573770491803
61362,396,173115,2890,78,1959,470,170,428,2695,570,IL,21552,121516,2370,613,59.90138408304498
61364,1309,530732,8730,222,9201,1320,450,3460,6125,1520,IL,67224,359579,6980,613,60.794043528064144
61367,0,30130,380,0,772,110,40,504,428,120,IL,3474,16624,290,613,79.28947368421052
61368,0,41134,620,0,1197,150,70,1307,570,160,IL,4535,25325,480,613,66.34516129032258
61369,0,53288,770,0,1395,150,50,514,792,160,IL,5819,32882,620,613,69.20519480519481
61370,0,57949,710,0,499,170,70,635,651,210,IL,6173,35967,540,613,81.61830985915493
61373,0,91815,1010,99,4824,260,120,1169,1095,300,IL,11819,59804,800,613,90.9059405940594
61375,0,49021,530,76,2173,150,40,268,639,150,IL,5206,23958,380,613,92.49245283018868
61376,369,75470,970,120,4333,200,110,1522,1120,260,IL,9122,45436,770,613,77.80412371134021
61377,0,41063,620,0,700,110,40,199,323,120,IL,4706,26747,510,613,66.23064516129033
61378,0,20646,220,0,403,50,30,533,90,60,IL,2731,10465,160,613,93.84545454545454
61379,0,40169,650,0,363,100,60,419,313,110,IL,4609,27735,530,613,61.79846153846154
61401,4171,786667,13570,440,23324,2070,690,5437,17309,2320,IL,104931,500645,10640,614,57.97103905674282
61410,0,95749,1680,0,1124,170,80,519,333,180,IL,11707,72053,1420,614,56.993452380952384
61411,0,8969,140,0,35,30,0,0,25,20,IL,843,5475,100,614,64.06428571428572
61412,0,52055,670,43,1015,110,50,439,569,120,IL,5376,30976,540,614,77.69402985074628
61413,0,39613,520,0,572,80,50,595,190,110,IL,4119,23049,400,614,76.17884615384615
61414,0,27738,390,0,357,70,60,1453,257,80,IL,2707,15361,310,614,71.12307692307692
61415,0,55203,780,0,1311,150,80,1002,484,140,IL,5790,30986,600,614,70.77307692307693
61417,0,7308,130,0,0,0,0,0,0,0,IL,703,4622,90,614,56.215384615384615
61418,0,23353,290,0,644,40,30,140,215,40,IL,1929,12106,240,614,80.52758620689656
61420,0,31122,450,0,680,70,60,931,150,80,IL,3512,16727,340,614,69.16
61421,0,41149,620,19,1088,110,50,762,442,120,IL,4060,21974,490,614,66.36935483870968
61422,180,81929,1450,0,1083,190,90,606,1139,250,IL,8813,53521,1180,614,56.502758620689654
61423,0,21397,280,0,202,40,40,409,267,60,IL,2293,12878,220,614,76.41785714285714
61425,0,10936,190,0,35,30,20,167,40,30,IL,983,7073,140,614,57.55789473684211
61427,0,68983,1010,15,793,150,60,244,693,180,IL,8742,45151,810,614,68.3
61428,388,69694,590,122,2187,180,50,378,1213,190,IL,10535,40667,430,614,118.12542372881356
61430,0,26955,370,0,680,40,0,0,222,70,IL,3669,17033,280,614,72.85135135135135
61431,0,10491,140,0,0,0,0,0,0,0,IL,1144,6046,110,614,74.93571428571428
61432,0,23474,300,0,187,40,0,0,79,60,IL,2394,14291,240,614,78.24666666666667
61434,0,90638,1440,34,1287,260,140,1206,1129,270,IL,10726,61206,1160,614,62.94305555555555
61436,0,29554,380,0,488,70,50,366,217,70,IL,3481,18132,300,614,77.77368421052631
61437,0,23676,330,0,31,50,20,177,55,50,IL,2830,16352,260,614,71.74545454545455
61438,0,24125,340,0,189,70,30,206,188,80,IL,2584,14768,250,614,70.95588235294117
61440,0,19879,330,0,342,50,40,291,59,50,IL,1805,12076,260,614,60.23939393939394
61441,0,25667,370,0,201,60,30,180,156,60,IL,2436,14679,260,614,69.37027027027027
61442,0,13818,260,0,0,0,0,0,0,0,IL,1594,10578,230,614,53.146153846153844
61443,839,338421,6040,172,6021,880,340,2885,4736,1020,IL,41390,235061,4990,614,56.02996688741722
61447,0,27328,400,0,326,70,30,97,283,50,IL,2731,15628,330,614,68.32
61448,0,126066,1830,34,2253,310,130,1302,1410,340,IL,14906,88177,1440,614,68.88852459016394
61449,0,11519,210,0,180,30,0,0,206,30,IL,1319,7421,150,614,54.852380952380955
61450,0,45769,720,0,2176,130,70,629,434,140,IL,4828,28661,560,614,63.56805555555555
61451,0,14016,150,0,328,20,0,0,146,30,IL,1442,8219,120,614,93.44
61452,0,6428,130,0,0,0,0,0,0,0,IL,670,4741,110,614,49.44615384615385
61453,0,18191,270,0,141,40,20,94,41,40,IL,1634,11548,210,614,67.37407407407407
61454,0,13880,280,0,47,20,20,-1,34,30,IL,1400,9607,220,614,49.57142857142857
61455,4724,476640,7170,439,16621,1510,580,5053,10968,1600,IL,62206,279186,5660,614,66.47698744769875
61458,0,24860,360,0,161,60,30,103,207,50,IL,2818,15761,290,614,69.05555555555556
61459,0,9750,150,0,123,20,0,0,67,30,IL,908,5410,110,614,65
61460,0,7562,120,0,40,20,0,0,22,30,IL,571,4040,80,614,63.016666666666666
61462,1351,281274,4660,219,6518,720,320,3564,6179,810,IL,33659,186617,3840,614,60.35922746781116
61465,0,37416,550,0,543,80,50,158,212,120,IL,4027,23934,430,614,68.02909090909091
61466,0,8850,130,0,0,0,0,0,0,0,IL,839,5510,100,614,68.07692307692308
61467,0,36091,520,0,468,100,40,279,497,100,IL,4133,24334,420,614,69.40576923076924
61469,0,49109,870,0,1080,110,40,134,410,90,IL,5639,32750,680,614,56.44712643678161
61470,0,11431,200,0,122,30,0,0,0,0,IL,1255,7899,160,614,57.155
61472,0,25121,310,0,433,60,30,197,159,70,IL,2721,14658,260,614,81.03548387096774
61473,0,46860,710,0,1729,140,70,1104,865,150,IL,4900,25745,550,614,66
61474,0,8889,120,0,0,0,0,0,0,0,IL,758,4869,100,614,74.075
61475,0,7730,110,0,99,20,0,0,0,0,IL,738,3355,90,614,70.27272727272727
61476,0,12277,170,0,157,30,0,0,114,30,IL,1280,6533,150,614,72.21764705882353
61477,0,16225,250,0,174,40,0,0,103,40,IL,1716,9155,170,614,64.9
61478,0,9087,130,0,0,0,0,0,42,30,IL,808,4833,100,614,69.9
61480,0,34440,550,0,177,90,60,526,161,110,IL,3383,22234,440,614,62.61818181818182
61482,0,18546,270,0,154,40,0,0,175,50,IL,1996,12064,220,614,68.68888888888888
61483,0,60720,820,32,1601,180,70,618,831,170,IL,7150,36330,630,614,74.04878048780488
61484,0,17623,340,0,116,30,0,0,51,30,IL,2014,12087,260,614,51.832352941176474
61485,0,21127,290,0,201,40,20,240,144,60,IL,2471,13158,230,614,72.85172413793103
61486,0,49171,730,0,280,110,60,435,259,140,IL,5809,36381,580,614,67.35753424657534
61488,0,33302,490,0,629,80,40,408,151,70,IL,4423,21566,370,614,67.96326530612245
61489,0,32531,460,0,503,80,40,166,235,80,IL,3720,21818,370,614,70.7195652173913
61490,0,38746,520,0,537,90,60,612,255,130,IL,3852,23629,410,614,74.51153846153846
61491,500,74448,960,86,2989,190,100,1193,833,170,IL,9116,41507,770,614,77.55
61501,0,43170,770,0,510,70,60,403,277,90,IL,4954,30508,640,615,56.064935064935064
61516,0,26512,350,0,195,60,30,103,352,70,IL,3024,17463,260,615,75.74857142857142
61517,2809,220891,1590,501,15101,460,170,1731,6009,520,IL,41611,114649,1230,615,138.9251572327044
61520,1222,422385,6610,201,8845,990,390,2797,7265,1140,IL,54789,280111,5230,615,63.90090771558245
61523,2235,410839,5340,433,10550,1030,240,1317,9759,1190,IL,53540,274793,4210,615,76.93614232209738
61525,9291,811764,5040,1480,30352,1910,320,2518,20474,2090,IL,144547,602774,4260,615,161.06428571428572
61526,543,54624,530,37,1474,160,40,284,1486,180,IL,7367,31356,400,615,103.06415094339623
61528,2748,273836,1490,288,5873,550,110,650,5578,630,IL,52308,186852,1220,615,183.78255033557048
61529,720,116091,1370,66,2424,250,120,875,1913,290,IL,14509,72934,1110,615,84.73795620437956
61530,4108,250150,2900,308,9707,760,270,4982,4066,810,IL,32052,157550,2350,615,86.25862068965517
61531,0,99970,1510,24,1537,210,90,359,1163,250,IL,11888,69632,1210,615,66.20529801324503
61532,0,11528,190,0,0,0,0,0,0,0,IL,1037,6575,150,615,60.67368421052632
61533,286,81397,1050,0,775,190,70,171,654,210,IL,10279,57149,840,615,77.52095238095238
61534,0,57819,750,0,479,130,60,42,295,130,IL,6248,37386,600,615,77.092
61535,1146,94143,890,77,1967,260,60,631,2240,290,IL,13400,61519,710,615,105.77865168539326
61536,712,121273,1460,94,6084,350,130,691,1741,400,IL,15211,76516,1120,615,83.06369863013698
61537,0,83045,1290,25,1436,220,100,864,981,270,IL,10124,54009,990,615,64.37596899224806
61540,211,86743,1300,47,2242,270,80,457,1326,290,IL,10421,56759,990,615,66.72538461538461
61542,0,99091,1500,51,1458,230,110,736,1213,270,IL,12364,63484,1170,615,66.06066666666666
61544,0,19002,330,0,42,40,20,120,55,40,IL,2020,12809,250,615,57.58181818181818
61545,0,26648,350,0,274,60,20,562,285,70,IL,3181,15584,280,615,76.13714285714286
61546,248,133995,1910,41,2550,260,110,607,757,290,IL,15593,89769,1520,615,70.1544502617801
61547,641,172243,1760,69,1494,400,120,1272,1867,480,IL,23793,116082,1390,615,97.8653409090909
61548,8564,666142,5870,936,26404,1670,440,4447,14032,1950,IL,98945,427683,4620,615,113.4824531516184
61550,20026,1027097,9200,1812,51095,2800,580,7441,25465,3210,IL,159709,609145,7310,615,111.64097826086956
61554,5679,1196038,19310,546,25245,2580,690,4602,15834,3000,IL,148979,823032,15680,615,61.9387881926463
61559,1523,143835,1590,156,5354,430,160,2620,2693,460,IL,18749,86511,1290,615,90.4622641509434
61560,0,29032,330,0,1730,80,20,14,274,80,IL,3725,15753,210,615,87.97575757575757
61561,1602,130346,1290,329,6396,360,170,5205,2350,370,IL,18403,64646,1050,615,101.04341085271318
61565,0,55766,690,19,1254,150,70,374,762,160,IL,6127,32209,520,615,80.82028985507246
61567,0,14604,270,0,82,20,0,0,51,30,IL,1726,9477,210,615,54.08888888888889
61568,4724,240774,2220,388,9164,740,220,3281,5430,790,IL,37267,129765,1780,615,108.45675675675676
61569,0,49949,580,26,498,120,50,243,580,130,IL,6491,32588,430,615,86.11896551724138
61570,0,54815,810,0,1403,140,60,555,399,130,IL,6303,35362,650,615,67.67283950617283
61571,11355,1101427,11740,933,31520,2670,580,3756,19228,3100,IL,156234,762883,9510,615,93.81831345826235
61572,0,31685,500,0,107,80,30,361,149,80,IL,3507,21581,380,615,63.37
61602,695,44166,430,92,438,90,0,0,1533,100,IL,8054,24297,350,616,102.71162790697674
61603,789,246053,6400,55,1904,350,140,194,3140,400,IL,35373,194242,5590,616,38.44578125
61604,2965,654549,13510,207,10428,1380,380,341,9804,1670,IL,84750,473683,11150,616,48.44922279792746
61605,298,143266,4830,0,139,80,70,-182,93,110,IL,23683,115351,4190,616,29.661697722567286
61606,1133,116102,2000,127,2539,270,90,-236,2128,300,IL,16622,86113,1740,616,58.051
61607,1500,352971,5310,101,6255,790,270,600,4465,1020,IL,42713,237897,4120,616,66.4728813559322
61610,0,108045,2320,0,1019,170,60,1,468,200,IL,12608,85154,1950,616,46.571120689655174
61611,5897,867525,11760,579,18845,2090,550,2149,14444,2430,IL,116382,582651,9390,616,73.76913265306122
61614,13216,1215986,14220,2560,70026,3430,670,4235,42510,3870,IL,189999,726942,11090,616,85.51237693389592
61615,20337,1352126,11940,2746,65772,3250,700,1339,41988,3650,IL,235278,884896,9720,616,113.24338358458961
61616,2326,238652,2950,402,6595,410,110,1329,6584,430,IL,43881,144772,2480,616,80.89898305084746
61701,9268,1069180,16570,857,24126,2540,570,5126,20111,2790,IL,152238,743228,13940,617,64.52504526252262
61704,22652,1947862,18410,2122,47470,4860,970,7261,43756,5480,IL,302139,1354173,15710,617,105.80456273764258
61705,10047,906794,7020,1174,25261,2050,450,5632,17543,2380,IL,143353,609761,5980,617,129.1729344729345
61720,0,8870,110,0,25,20,0,0,0,0,IL,898,4727,100,617,80.63636363636364
61721,0,19334,260,0,149,40,0,0,67,40,IL,2024,12949,220,617,74.36153846153846
61722,0,17299,240,0,72,30,30,63,75,30,IL,1809,10542,190,617,72.07916666666667
61723,327,82881,1130,81,1797,170,90,1079,1206,180,IL,9616,53763,910,617,73.34601769911504
61724,0,14797,210,0,52,30,0,0,59,30,IL,1483,9263,180,617,70.46190476190476
61725,1277,78390,770,67,1431,210,80,901,1755,240,IL,10852,47251,630,617,101.8051948051948
61726,303,81243,1150,45,963,210,110,1147,778,220,IL,8988,50952,950,617,70.64608695652174
61727,1697,340900,4470,487,7570,750,270,3715,4129,790,IL,45894,219861,3600,617,76.26398210290827
61728,0,51445,650,0,798,90,50,432,380,110,IL,5824,33183,570,617,79.14615384615385
61729,7017,112086,560,123,1576,190,90,2494,1165,200,IL,18511,48645,460,617,200.15357142857144
61730,0,11876,180,0,146,30,0,0,62,30,IL,1251,6684,140,617,65.97777777777777
61731,0,9110,120,0,235,30,0,0,0,0,IL,717,4640,80,617,75.91666666666667
61732,509,89575,1010,35,1799,240,90,1143,959,270,IL,10829,62186,810,617,88.68811881188118
61733,354,47130,570,0,1099,130,50,748,404,130,IL,6206,31933,470,617,82.6842105263158
